Name,Moda,Media,Mediana,Mínimo,Máximo,Desviación estándar,Varianza,Cuartil 1 (Q1 - 25%),Cuartil 2 (Q2 - 50% - Mediana),Cuartil 3 (Q3 - 75%),Percentil 5%,Percentil 95%
NLTK - Original,149,804.3901328273245,420.0,18,20576,1405.3340957336557,1974963.9206315314,230.5,420.0,865.5,82.0,2542.0999999999954
MPNet - Original,407,1063.011385199241,561.0,26,27419,1853.838328055434,3436716.5465673665,303.0,561.0,1152.0,110.0,3417.6999999999975
MiniLM - Original,407,1063.011385199241,561.0,26,27419,1853.838328055434,3436716.5465673665,303.0,561.0,1152.0,110.0,3417.6999999999975
NLTK - Sin outliers,149,511.2306097055164,385.0,18,1816,404.2491804680996,163417.39990913018,214.5,385.0,694.5,78.0,1410.0
MPNet - Sin outliers,407,675.257984238905,511.0,26,2415,532.7221027991112,283792.8388107068,284.0,511.0,918.0,102.5,1851.5
MiniLM - Sin outliers,407,675.257984238905,511.0,26,2415,532.7221027991112,283792.8388107068,284.0,511.0,918.0,102.5,1851.5
